sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
44,True,10,1000.0,11,-1,True,0,0,2780.2780000000002,2822.4483835847204,1.030565430616814,77.37,77.402,77.5
45,True,11,1000.0,11,0,True,0,0,2653.050909090909,2727.2284119863257,1.0567003663272863,77.41,77.45545454545454,77.53
46,True,11,1000.0,11,0,True,0,0,3038.3245454545454,3075.430395158316,1.0245743525026711,77.54,77.61363636363636,77.78
47,True,11,1000.0,11,0,True,0,0,2716.4263636363635,2773.731854037084,1.0426368606603271,77.78,77.82272727272726,77.92
48,True,11,1000.0,11,0,True,0,0,2698.5045454545457,2784.4775052536584,1.0647339927394543,77.77,77.84000000000002,77.9
49,True,11,1000.0,11,0,True,0,0,2856.0472727272727,2911.8432748940068,1.039453842812373,77.84,77.88545454545455,77.99
50,True,11,1000.0,11,0,True,0,0,2661.6090909090913,2731.4691580140197,1.0531835321803906,77.88,77.92545454545454,77.99
51,True,11,1000.0,11,0,True,0,0,2583.604545454545,2672.558472041691,1.0700457628926248,77.7,77.78727272727272,77.88
52,True,10,1000.0,11,-1,True,0,0,2664.688,2727.870839981248,1.0479845363910083,77.71,77.75800000000001,77.82
53,True,11,1000.0,11,0,True,0,0,2200.6290909090912,2233.8535660276716,1.0304233749498133,83.72,84.44636363636364,85.48
54,True,11,1000.0,11,0,True,0,0,2118.7981818181815,2156.06379614249,1.0354855220727213,85.49,85.81818181818181,86.1
55,True,11,1000.0,11,0,True,0,0,2137.9963636363636,2185.0964289893063,1.0445453261220503,82.83,82.9909090909091,83.32
58,True,11,1000.0,11,0,True,0,0,3272.950909090909,3351.1907922327337,1.048381443806858,99.36,99.8409090909091,100.52
59,True,11,1000.0,11,0,True,0,0,3539.9927272727277,3588.6647044168494,1.0276873884604365,97.24,98.19636363636364,99.28
